subject,video,original_samples,source_sampling_rate_hz,analysis_sampling_rate_hz,preprocessing_mode
sub_01,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_01,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_01,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_01,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_01,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_01,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_01,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_01,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_01,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_01,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_01,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_02,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_02,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_02,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_02,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_02,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_02,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_02,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_02,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_02,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_02,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_02,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_03,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_03,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_03,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_03,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_03,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_03,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_03,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_03,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_03,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_03,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_03,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_04,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_04,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_04,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_04,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_04,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_04,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_04,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_04,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_04,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_04,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_04,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_05,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_05,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_05,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_05,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_05,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_05,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_05,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_05,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_05,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_05,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_05,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_06,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_06,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_06,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_06,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_06,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_06,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_06,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_06,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_06,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_06,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_06,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_07,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_07,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_07,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_07,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_07,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_07,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_07,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_07,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_07,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_07,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_07,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_08,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_08,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_08,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_08,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_08,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_08,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_08,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_08,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_08,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_08,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_08,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_09,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_09,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_09,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_09,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_09,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_09,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_09,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_09,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_09,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_09,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_09,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_10,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_10,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_10,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_10,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_10,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_10,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_10,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_10,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_10,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_10,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_10,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_11,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_11,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_11,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_11,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_11,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_11,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_11,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_11,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_11,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_11,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_11,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_12,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_12,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_12,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_12,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_12,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_12,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_12,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_12,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_12,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_12,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_12,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_13,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_13,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_13,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_13,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_13,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_13,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_13,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_13,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_13,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_13,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_13,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_14,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_14,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_14,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_14,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_14,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_14,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_14,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_14,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_14,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_14,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_14,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_15,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_15,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_15,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_15,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_15,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_15,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_15,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_15,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_15,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_15,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_15,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_16,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_16,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_16,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_16,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_16,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_16,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_16,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_16,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_16,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_16,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_16,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_17,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_17,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_17,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_17,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_17,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_17,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_17,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_17,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_17,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_17,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_17,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_18,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_18,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_18,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_18,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_18,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_18,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_18,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_18,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_18,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_18,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_18,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_19,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_19,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_19,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_19,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_19,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_19,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_19,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_19,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_19,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_19,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_19,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_20,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_20,2,173083,1000.0,1000.0,full_rate_no_subsampling
